Sample	Geminin	Feader	Batch	Tissue
Progenitor.R1	NoGeminin	DE	1	Progenitor
Progenitor.R2	NoGeminin	DE	2	Progenitor
Progenitor.R3	NoGeminin	DE	3	Progenitor
Progenitor.R4	NoGeminin	DE	4	Progenitor
ProgenitorNogeminin.DE.R1	NoGeminin	DE	1	Progenitor
ProgenitorNogeminin.DE.R2	NoGeminin	DE	2	Progenitor
ProgenitorNogeminin.DE.R3	NoGeminin	DE	3	Progenitor
ProgenitorNogeminin.DE.R4	NoGeminin	DE	4	Progenitor
Progenitorgeminin.DE.R1	WithGeminin	DE	1	Progenitor
Progenitorgeminin.DE.R2	WithGeminin	DE	2	Progenitor
Progenitorgeminin.DE.R3	WithGeminin	DE	3	Progenitor
Progenitorgeminin.DE.R4	WithGeminin	DE	4	Progenitor
ProgenitorNogeminin.ELB.R1	NoGeminin	ELB	1	Progenitor
ProgenitorNogeminin.ELB.R2	NoGeminin	ELB	2	Progenitor
ProgenitorNogeminin.ELB.R3	NoGeminin	ELB	3	Progenitor
ProgenitorNogeminin.ELB.R4	NoGeminin	ELB	4	Progenitor
Progenitorgeminin.ELB.R1	WithGeminin	ELB	1	Progenitor
Progenitorgeminin.ELB.R2	WithGeminin	ELB	2	Progenitor
Progenitorgeminin.ELB.R3	WithGeminin	ELB	3	Progenitor
Progenitorgeminin.ELB.R4	WithGeminin	ELB	4	Progenitor
Sperm.R1	NoGeminin	DE	1	Sperm
Sperm.R2	NoGeminin	DE	2	Sperm
Sperm.R3	NoGeminin	DE	3	Sperm
Sperm.R4	NoGeminin	DE	4	Sperm
SpermNogeminin.DE.R1	NoGeminin	DE	1	Sperm
SpermNogeminin.DE.R2	NoGeminin	DE	2	Sperm
SpermNogeminin.DE.R3	NoGeminin	DE	3	Sperm
SpermNogeminin.DE.R4	NoGeminin	DE	4	Sperm
Spermgeminin.DE.R1	WithGeminin	DE	1	Sperm
Spermgeminin.DE.R2	WithGeminin	DE	2	Sperm
Spermgeminin.DE.R3	WithGeminin	DE	3	Sperm
Spermgeminin.DE.R4	WithGeminin	DE	4	Sperm
SpermNogeminin.ELB.R1	NoGeminin	ELB	1	Sperm
SpermNogeminin.ELB.R2	NoGeminin	ELB	2	Sperm
SpermNogeminin.ELB.R3	NoGeminin	ELB	3	Sperm
SpermNogeminin.ELB.R4	NoGeminin	ELB	4	Sperm
Spermgeminin.ELB.R1	WithGeminin	ELB	1	Sperm
Spermgeminin.ELB.R2	WithGeminin	ELB	2	Sperm
Spermgeminin.ELB.R3	WithGeminin	ELB	3	Sperm
Spermgeminin.ELB.R4	WithGeminin	ELB	4	Sperm
